,Unnamed: 0,tender_id,tender_country,tender_year,tender_title,tender_mainCpv,tender_cpvs,tender_procedureType,buyer_id,buyer_name,buyer_city,buyer_country,buyer_postcode,bidder_id,bidder_name,bidder_city,bidder_country,bidder_postcode,bid_price,bid_price_EUR,bid_price_currency,tender_estimatedPrice,tender_estimatedPrice_EUR,tender_estimatedPrice_currency,tender_finalPrice,tender_finalPrice_EUR,tender_finalPrice_currency,tender_indicator_INTEGRITY_ADVERTISEMENT_PERIOD,tender_indicator_INTEGRITY_CALL_FOR_TENDER_PUBLICATION,tender_indicator_INTEGRITY_DECISION_PERIOD,tender_indicator_INTEGRITY_NEW_COMPANY,tender_indicator_INTEGRITY_PROCEDURE_TYPE,tender_indicator_INTEGRITY_SINGLE_BID,tender_indicator_INTEGRITY_TAX_HAVEN,tender_three_Cpvs
2874022,211571,5d0cc134-d47a-4537-8fdd-261eb69cdc24,PL,2016.0,Dostawa technicznych środków materiałowych do KTO ROSOMAK w latach 2016-2019.,35421100.0,35421100,OPEN,EU_body_6163592132660133dbbd8481120b91aa0118b0258a281ab537fda91b858e7384,3 Regionalna Baza Logistyczna,Kraków,PL,30-901,EU_body_05f858bdc78c6b9e5206b6f66b486025e90359953e2c4971259f63d416267bd8,Biwar Sp. z o.o.,Biskupiec,PL,11-300,543929.0,543929.0,EUR,,,,19178913.0,19178913.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,354
2874023,211572,5d0cc134-d47a-4537-8fdd-261eb69cdc24,PL,2016.0,Dostawa technicznych środków materiałowych do KTO ROSOMAK w latach 2016-2019.,35421100.0,35421100,OPEN,EU_body_6163592132660133dbbd8481120b91aa0118b0258a281ab537fda91b858e7384,3 Regionalna Baza Logistyczna,Kraków,PL,30-901,EU_body_9fb2b7310491c92e1b118edec82c847c3a5e1c9f0dbefc9b22c178e14733501a,ROSOMAK S.A.,Siemianowice Ślaskie,PL,41-100,75726.0,75726.0,EUR,,,,19178913.0,19178913.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,354
2874024,211573,5d0cc134-d47a-4537-8fdd-261eb69cdc24,PL,2016.0,Dostawa technicznych środków materiałowych do KTO ROSOMAK w latach 2016-2019.,35421100.0,35421100,OPEN,EU_body_6163592132660133dbbd8481120b91aa0118b0258a281ab537fda91b858e7384,3 Regionalna Baza Logistyczna,Kraków,PL,30-901,EU_body_9fb2b7310491c92e1b118edec82c847c3a5e1c9f0dbefc9b22c178e14733501a,ROSOMAK S.A.,Siemianowice Ślaskie,PL,41-100,325255.0,325255.0,EUR,,,,19178913.0,19178913.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,354
2874025,211574,5d0cc134-d47a-4537-8fdd-261eb69cdc24,PL,2016.0,Dostawa technicznych środków materiałowych do KTO ROSOMAK w latach 2016-2019.,35421100.0,35421100,OPEN,EU_body_6163592132660133dbbd8481120b91aa0118b0258a281ab537fda91b858e7384,3 Regionalna Baza Logistyczna,Kraków,PL,30-901,EU_body_9fb2b7310491c92e1b118edec82c847c3a5e1c9f0dbefc9b22c178e14733501a,ROSOMAK S.A.,Siemianowice Ślaskie,PL,41-100,135624.0,135624.0,EUR,,,,19178913.0,19178913.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,354
2874026,211575,5d0cc134-d47a-4537-8fdd-261eb69cdc24,PL,2016.0,Dostawa technicznych środków materiałowych do KTO ROSOMAK w latach 2016-2019.,35421100.0,35421100,OPEN,EU_body_6163592132660133dbbd8481120b91aa0118b0258a281ab537fda91b858e7384,3 Regionalna Baza Logistyczna,Kraków,PL,30-901,EU_body_9fb2b7310491c92e1b118edec82c847c3a5e1c9f0dbefc9b22c178e14733501a,ROSOMAK S.A.,Siemianowice Ślaskie,PL,41-100,4189613.0,4189613.0,EUR,,,,19178913.0,19178913.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,354
2874027,211576,5d0cc134-d47a-4537-8fdd-261eb69cdc24,PL,2016.0,Dostawa technicznych środków materiałowych do KTO ROSOMAK w latach 2016-2019.,35421100.0,35421100,OPEN,EU_body_6163592132660133dbbd8481120b91aa0118b0258a281ab537fda91b858e7384,3 Regionalna Baza Logistyczna,Kraków,PL,30-901,EU_body_9fb2b7310491c92e1b118edec82c847c3a5e1c9f0dbefc9b22c178e14733501a,ROSOMAK S.A.,Siemianowice Ślaskie,PL,41-100,17823612.0,17823612.0,EUR,,,,19178913.0,19178913.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,354
2881643,220088,72b8ed5f-a31e-4767-a208-a5d7fa41a39a,PL,2016.0,Zakup 363 kpl. pistoletów samopowtarzalnych,353211001.0,353211001,OPEN,PL_body_1deeedf725bde226249bb1a7bd634d6651ce248c14a83e9d1f95f37f20033ad6,Biuro Finansów Komendy Głównej Straży Granicznej,Warszawa,,00-463,PL_body_92aaf86b9fec96e0b312c8d6072b0c81ec5018957d652c27ace5d0a172d9e7ee,Fabryka Broni Łucznik Radom Sp. z o.o. z siedzibą w Radomiu,Radom,,,658014.64,152163.0,PLN,560975.59,129723.0,PLN,,,,100.0,100.0,0.0,,100.0,100.0,,353
2881894,220362,6f43135d-9ec2-4a1b-80ff-791c018649b9,PL,2016.0,"Dostawa amunicji sportowej do broni małokalibrowej używanej w biathlonie dla Kadr Narodowych PZBiath., Szkół Mistrzostwa Sportowego w biathlonie oraz Biathlonowych Ośrodków Szkolenia Sportowego Młodzieży",353300006.0,353300006,OPEN,PL_body_87f63253c1a71fc180eab1c9eff2ae722b42114f7231a19555e8e54f565e28f8,Polski Związek Biathlonu,Katowice,,40-519,PL_body_31080b86f00a495801e36cc59b3a82b47ecd8669784620360041fd8d77acd08b,Towarzystwo Handlu Zagranicznego INCORSA Sp. z o.o.,Warszawa,,02-954,348223.0,81192.0,PLN,300592.8,70086.0,PLN,,,,100.0,100.0,0.0,,100.0,0.0,,353
2898142,238371,782c6233-d539-4efd-864f-4a56572761b8,PL,2016.0,Dostawa części zamiennych do układów ppoż. systemu KIDDE DEUGRA stosowanych w pojazdach bojowych.,35420000.0,"35420000,35422000",OPEN,EU_body_876d39b0960b3fe5e3dde8e9a32dfa57017f5de695f9ce4ed96afa36efde9b6c,4 Regionalna Baza Logistyczna,Wrocław,PL,50-984,EU_body_f7e1849ab9b2e8bca74d10fe6b353594ad307ee866bf53e75b61650337b291b4,Roman Rutkowski W.P.H.U.P. AMP,Puszczykowo,PL,62-040,106922.0,106922.0,EUR,,,,359412.0,359412.0,EUR,0.0,100.0,0.0,,100.0,0.0,100.0,354
2898143,238372,782c6233-d539-4efd-864f-4a56572761b8,PL,2016.0,Dostawa części zamiennych do układów ppoż. systemu KIDDE DEUGRA stosowanych w pojazdach bojowych.,35420000.0,"35420000,35422000",OPEN,EU_body_876d39b0960b3fe5e3dde8e9a32dfa57017f5de695f9ce4ed96afa36efde9b6c,4 Regionalna Baza Logistyczna,Wrocław,PL,50-984,EU_body_f7e1849ab9b2e8bca74d10fe6b353594ad307ee866bf53e75b61650337b291b4,Roman Rutkowski W.P.H.U.P. AMP,Puszczykowo,PL,62-040,252490.0,252490.0,EUR,,,,359412.0,359412.0,EUR,0.0,100.0,0.0,,100.0,0.0,100.0,354
2903859,244809,767e446e-e238-41de-ad86-bfef0364e46e,PL,2016.0,"Dostawa 5,56 mm karabinów szturmowych wz.96 Beryl i 5,56 mm karabinków wz.96 Mini Beryl.",35321200.0,35321200,NEGOTIATED_WITHOUT_PUBLICATION,EU_body_a6b0a78fe48d89eda38e33d9829b404a182a7649f4ce1890a2f553fac14c7054,Skarb Państwa – Inspektorat Uzbrojenia,Warszawa,PL,00-909 (00-065 dla przesyłek kurierskich),EU_body_3e58b84b1b02aeeb2ddfafbbad05f6e6da761c89c91810b60b3acc478fa42379,Fabryka Broni Łucznik – Radom Sp. z o.o.,Radom,PL,26-617,28941345.0,28941345.0,EUR,,,,28941345.0,28941345.0,EUR,100.0,0.0,0.0,,0.0,,100.0,353
2910179,3738,0bb44892-9559-4017-ad96-1e241c3d9320,PL,,Dostawa wentylatora typu 2-6331-00 mającego zastosowanie w śmigłowcach Mi-2 i PZL - KANIA eksploatowanych w Lotnictwie Straży Granicznej.,353420003.0,353420003,OPEN,PL_body_e60828071439cad6ebbd52f7a4008283a4b20d2aefead54fad27de0d86309aa1,Zespół do Spraw Zamówień Publicznych Komendy Głównej Straży Granicznej,Warszawa,,00-463,PL_body_b7eacbf4d55da2d9ea7f58e332541b860ab36aa9a8649a60bb486e0c192f163d,Dostawa wentylatora typu 2-6331-00 mającego zastosowanie w śmigłowcach Mi-2 i PZL - KANIA eksploatowanych w Lotnictwie Straży Granicznej.,Warszawa,,02-134,150000.0,44517.0,PLN,150000.0,44517.0,PLN,,,,100.0,0.0,0.0,,100.0,100.0,,353
2924500,86658,a5017e01-7e30-4371-8052-c5e2f2d7ec0a,PL,,Zakup zasilaczy hydraulicznych oraz części zamiennych do śmigłowców SW-4 - 57/8/ZWR,353000007.0,353000007,NEGOTIATED_WITHOUT_PUBLICATION,PL_body_160a1c62eff14b7321d8c3a1e9a45c2f57077e5af8cc0752240f1d9aed0feca9,Jednostka Wojskowa 4219,Dęblin,,08-521,PL_body_342140fee325786b4b88796de300c019ffdc4c012108c19d73339e255e33f5bb,Zakup zasilaczy hydraulicznych oraz części zamiennych do śmigłowców SW-4,Świdnik,,21-045,295749.5,85613.0,PLN,300713.0,87050.0,PLN,,,,100.0,0.0,0.0,,0.0,0.0,,353
2929836,122087,e5305cf0-b5a6-47bb-bc00-feda5c134da1,PL,,Dostawa uniwersalnych granatów łzawiących UGŁ 200/1,353313003.0,353313003,NEGOTIATED_WITHOUT_PUBLICATION,PL_body_b0563422bd84cb091e1eb13b93bdc5d60878374be24a5a53bbbeb63028734c0f,Jednostka Wojskowa 4226,Warszawa,,04-470,PL_body_aa85398a69a25fa824667d770209c0fbdc741cdf3a5967b8035159b02fe7d797,NITRO - CHEM S.A,Bydgoszcz,,85-825,,,,,,,,,,100.0,0.0,0.0,,0.0,,,353
2930539,127416,d71057a3-2e2d-4562-9e4e-94d89dc33f22,PL,,Dostawy części do statków powietrznych,353410006.0,353410006,OPEN,PL_body_2402827321ec8044e861728b428af33e3b9cde31c99dc328fcc7e356478be7b8,Jednostka Wojskowa 3294,Świdwin,,78-301,PL_body_5927bbbc51160bd1b56c286be1cca37a7c7188cd1fa2ca42a65666160ac364ce,Wojskowe Zakłady Lotnicze Nr 2 S.A.,BYDGOSZCZ,,85-915,38.0,9.0,PLN,38244.0,9208.0,PLN,,,,100.0,100.0,0.0,,100.0,0.0,,353
2940137,188440,19ad5ea5-1310-45e9-adbb-a52ad2eac728,PL,,"DOSTAWA, MONTAŻ I URUCHOMIENIE SYSTEMU KOMUTACYJNEGO TELEFONII IP",355220008.0,"355220008,325220008",OPEN,PL_body_47f7d7dd484ac7f046f78b9caa0a1b632018d096584ada5c333b4fe8ef4d391e,Komenda Stołeczna Policji,Warszawa,,00-150,PL_body_86e7d43fd90586c430cbaaadb36fad48e3a5d444e5b9f0d046a66bf7e964aeaf,Siemens Enterprise Communications Sp. z o.o.,Warszawa,,03-821,258.0,67.0,PLN,258500.0,67143.0,PLN,,,,100.0,100.0,0.0,,100.0,100.0,,355
2942384,202964,3c059d66-d476-4e5e-8d2a-f136a356c4ee,PL,,Restauracyjne usługi kelnerskie w Szczecinie,355310006.0,355310006,NEGOTIATED_WITHOUT_PUBLICATION,PL_body_f7df7803b26c081134e92bb9ee7836566df3831bbffae8005532e689798ca7fa,Wojewódzki Urząd Pracy w Szczecinie,Szczecin,,70-383,PL_body_e4781947b279c174193f4ea4025e13b3283b4496b3dde5f13f18ed7b4a76174c,NKK Spółka cywilna Bolesław Sobolewski Beata Sobolewska,Szczecin,,70-540,700.0,185.0,PLN,934.0,247.0,PLN,,,,100.0,0.0,0.0,,0.0,0.0,,355
2949880,249093,76e4c9b8-f6a5-4b8b-b048-a901df23971a,PL,,Dostawy materiałów jednorazowego użytku do statków powietrznych,353410006.0,353410006,OPEN,PL_body_a1deb41410419e77e45eaa1f669e666fd38a1d9005b025757ed5aebe205d294f,Jednostka Wojskowa 4213,Wrocław,,50-984,PL_body_56d068f9be7f05f3fa44aba95e33503965758b02a1f1316b1cb25b580e3cb082,Dostawa materiałów jednorazowego użytku do statków powietrznych,Świdnik,,21-045,40028.0,11659.0,PLN,54188.0,15784.0,PLN,,,,100.0,0.0,0.0,,100.0,0.0,,353
2949881,249094,76e4c9b8-f6a5-4b8b-b048-a901df23971a,PL,,Dostawy materiałów jednorazowego użytku do statków powietrznych,353410006.0,353410006,OPEN,PL_body_a1deb41410419e77e45eaa1f669e666fd38a1d9005b025757ed5aebe205d294f,Jednostka Wojskowa 4213,Wrocław,,50-984,PL_body_ee6441007733dc10529d8020a552c2ef95c29de5b62b9576c5f0e08eac2f5158,Dostawa materiałów jednorazowego użytku do statków powietrznych,Rzeszów,,35-078,14160.0,4124.0,PLN,54188.0,15784.0,PLN,,,,100.0,0.0,0.0,,100.0,0.0,,353
2956638,292653,e78f87b6-644d-456c-8770-daf90ada848d,PL,,Dostawy wyrobów jednorazowego użytku do statków powietrznych,353410006.0,353410006,OPEN,PL_body_a1deb41410419e77e45eaa1f669e666fd38a1d9005b025757ed5aebe205d294f,Jednostka Wojskowa 4213,Wrocław,,50-984,PL_body_a1eeb9cde435602d806ba92b700c46d476c653d6576c36c3e8bdbb49a7aed120,PZL ŚWIDNIK S.A.,Świdnik,,21-045,33090.0,9829.0,PLN,33090.0,9829.0,PLN,,,,100.0,0.0,0.0,,100.0,0.0,,353
2970891,381600,35e91509-ed2a-491c-befa-0f312bf00906,PL,,System wykrywania min w wodach głębokich i płytkich do ochrony portów i szybkiego rozpoznania warunków hydrologicznych dla potrzeb wojny minowej - oparty o bezzałogowe pojazdy podwodne.,35512400.0,35512400,RESTRICTED,EU_body_a6b0a78fe48d89eda38e33d9829b404a182a7649f4ce1890a2f553fac14c7054,Skarb Państwa – Inspektorat Uzbrojenia,Warszawa,PL,00-909 (00-065 dla przesyłek kurierskich),EU_body_b36c7eeac97ed4b0e2db5f00d7735fcee4bc32e60c8fa260e73b54ff99c8fea6,1. Przedsiębiorstwo Badawczo – Produkcyjne „ENAMOR” Sp. z o.o.,Gdynia,PL,81-225,,,,,,,,,,100.0,0.0,0.0,,0.0,,100.0,355
2972813,393125,61346f20-49f2-4c59-8342-fd45212b7690,PL,,Części zamienne do śmigłowców Mi-8 i Mi-17,353420003.0,353420003,OPEN,PL_body_aeb2464fd3ad1441bdcc613b469f50fa402b0f5d3904ebb4a4c6723e7df256e7,Jednostka Wojskowa 4395,Leźnica Wielka,,95-043,PL_body_eee4dea942971bc322bd0b17ec7bc67c8ccbf535c3a0f403216dd4f9328c71f7,Elementy zabezpieczające do śmigłowców,Bydgoszcz,,85-915,57596.0,15990.0,PLN,57596.0,15990.0,PLN,,,,100.0,100.0,0.0,,100.0,0.0,,353
2975453,414129,cfa87aba-18cc-4172-84c2-e0bbbfe5ad2f,PL,,"Zakup i dostawa: 1.Rura do lasera argonowego Coherent INNOVA 400-10/2 fabrycznie nowa z gwarancją wraz z wyposażeniem umożliwiającym pracę w zakresie UV 275 - 305 nm 1 szt., 2.Rozszerzenie gwarancji na cały system laserowy 1 szt.",355100000.0,355100000,NEGOTIATED_WITHOUT_PUBLICATION,PL_body_cabcc10bfbe3b20242aaa34fbf45326c44b8d9d38f568a67588954cac34238f9,Uniwersytet im. A. Mickiewicza,Poznań,,61-712,PL_body_22c5c315d03968cd2e3eb0211547645c4fed8dcec0e9d4640b37956075eba49d,EUROTEK INTERNATIONAL Spółka z o. o.,Warszawa,,02-668,98360.0,29084.0,PLN,98360.0,29084.0,PLN,,,,100.0,0.0,0.0,,0.0,0.0,,355
2976078,417686,d83d3dc9-6c1d-4b28-9eeb-a80bb1e47de8,PL,,Dostawa stanowiska balistycznego kal. 120x570 mm systemu Leopard.,35322000.0,35322000,RESTRICTED,EU_body_580f9626213a1652b96016e54ad6131a10bb7cd4f5fc2e11ebff9b141b70d6d8,Wojskowy Instytut Techniczny Uzbrojenia,ZIELONKA,PL,05-220,,,,,,,,,,,,,,,100.0,0.0,0.0,100.0,0.0,,,353
2981552,452680,ac0a6adb-3122-4a49-9753-316cbb3e3067,PL,,Zakup i dostawa amunicji 9 mm x 19 Parabellum FMJ,353300006.0,353300006,NEGOTIATED_WITHOUT_PUBLICATION,PL_body_e59953ce3274572a278fcd073e939fe2938e6d7ac5a24037246d4fc7f95b12b1,Służba Wywiadu Wojskowego,Warszawa,,02-009,PL_body_730af291c13177df74fc26b3697f3a3b8c0851b20bbaa58eb3a982965200e7ab,PHU IMS-GRIFFIN Sp. z o.o.,Warszawa,,00-609,5491.0,1413.0,PLN,5491.0,1413.0,PLN,,,,100.0,0.0,0.0,,0.0,0.0,,353
2987278,489009,bb918262-439d-476c-ae7b-59ffd7c83919,PL,,"Dostawy wyrobów jednorazowego użytku do statków powietrznych, materiałów grupy B oraz drobnych materiałów",353410006.0,353410006,OPEN,PL_body_a1deb41410419e77e45eaa1f669e666fd38a1d9005b025757ed5aebe205d294f,Jednostka Wojskowa 4213,Wrocław,,50-984,PL_body_7813d88a2ae6df0309bc8b100a2a3637907993a0610c81cd76d1c5511c440c90,"dostawa wyrobów jednorazowego użytku do statków powietrznych, materiałów grupy B oraz drobnych materiałów",Rzeszów,,35-078,27229.0,7072.0,PLN,46114.0,11978.0,PLN,,,,100.0,100.0,0.0,,100.0,0.0,,353
2987279,489010,bb918262-439d-476c-ae7b-59ffd7c83919,PL,,"Dostawy wyrobów jednorazowego użytku do statków powietrznych, materiałów grupy B oraz drobnych materiałów",353410006.0,353410006,OPEN,PL_body_a1deb41410419e77e45eaa1f669e666fd38a1d9005b025757ed5aebe205d294f,Jednostka Wojskowa 4213,Wrocław,,50-984,PL_body_b1ec1bb014a67a4ef53804175555a3e12571450162130da0ed7c816b3ba8f8a0,"dostawa wyrobów jednorazowego użytku do statków powietrznych, materiałów grupy B oraz drobnych materiałów",Kalisz,,62-800,7360.0,1912.0,PLN,46114.0,11978.0,PLN,,,,100.0,100.0,0.0,,100.0,0.0,,353
2987280,489011,bb918262-439d-476c-ae7b-59ffd7c83919,PL,,"Dostawy wyrobów jednorazowego użytku do statków powietrznych, materiałów grupy B oraz drobnych materiałów",353410006.0,353410006,OPEN,PL_body_a1deb41410419e77e45eaa1f669e666fd38a1d9005b025757ed5aebe205d294f,Jednostka Wojskowa 4213,Wrocław,,50-984,PL_body_b1ec1bb014a67a4ef53804175555a3e12571450162130da0ed7c816b3ba8f8a0,"dostawa wyrobów jednorazowego użytku do statków powietrznych, materiałów grupy B oraz drobnych materiałów",Kalisz,,62-800,2785.0,723.0,PLN,46114.0,11978.0,PLN,,,,100.0,100.0,0.0,,100.0,0.0,,353
2987281,489012,bb918262-439d-476c-ae7b-59ffd7c83919,PL,,"Dostawy wyrobów jednorazowego użytku do statków powietrznych, materiałów grupy B oraz drobnych materiałów",353410006.0,353410006,OPEN,PL_body_a1deb41410419e77e45eaa1f669e666fd38a1d9005b025757ed5aebe205d294f,Jednostka Wojskowa 4213,Wrocław,,50-984,PL_body_da14bc08c24521a33851b39ae6829817e62d5de20571ae1f60a6aa8ec0b42d1a,"Dostawa wyrobów jednorazowego użytku do statków powietrznych, materiałów grupy B oraz drobnych materiałów",Wrocław,,51-317,8740.0,2270.0,PLN,46114.0,11978.0,PLN,,,,100.0,100.0,0.0,,100.0,0.0,,353
3006117,607178,3f2ce9c6-5b25-4c9b-bc09-a66938acffaa,PL,,Dostawa technicznych środków materiałowych,354200004.0,"354200004,392224210",OPEN,PL_body_45b70d7457b70d783e02a31e67b1f17dadd92dc4957f7cba3301d84d7f672d3c,Jednostka Wojskowa nr 4408,Sulechów,,66-100,PL_body_def3bd3e323919644adcf5c8acc6adf765afcd71623eac309ba90254888c96cc,dostawa technicznych środków materiałowych,Zielona Góra,,65-775,9479.4,2322.0,PLN,31706.0,7766.0,PLN,,,,100.0,100.0,0.0,,100.0,100.0,,354
3006118,607179,3f2ce9c6-5b25-4c9b-bc09-a66938acffaa,PL,,Dostawa technicznych środków materiałowych,354200004.0,"354200004,392224210",OPEN,PL_body_45b70d7457b70d783e02a31e67b1f17dadd92dc4957f7cba3301d84d7f672d3c,Jednostka Wojskowa nr 4408,Sulechów,,66-100,PL_body_8982a7011ba6eefe4b6dfd13bd4df6ceaba3a7209348396641d6ee21141f80cb,Pakiet nr 1 dostawa technicznych środków materiałowych,Józefów k Otwocka,,05-420,9530.64,2335.0,PLN,31706.0,7766.0,PLN,,,,100.0,100.0,0.0,,100.0,100.0,,354
3012571,649986,d2574384-c2ed-466b-a562-ac84cddc3d2b,PL,,Części zamienne do śmigłowców Mi-8 i Mi-17,353420003.0,353420003,OPEN,PL_body_aeb2464fd3ad1441bdcc613b469f50fa402b0f5d3904ebb4a4c6723e7df256e7,Jednostka Wojskowa 4395,Leźnica Wielka,,95-043,PL_body_ae783e1aefc1c5a245115d8f2ac4929ccfdc55d0fd7212561117397ebe2f54ef,Części zamienne do smigłowców Mi-8 i Mi-17,Mielec,,39-300,205125.0,59843.0,PLN,205125.0,59843.0,PLN,,,,100.0,100.0,0.0,,100.0,100.0,,353
3018564,687051,16de3ea9-5f10-4b0a-a26e-4bce4aaa8389,PL,,Dostawa części zamiennych do pojazdu marki 2S1 GOŹDZIK,354200004.0,354200004,OPEN,PL_body_5c237ec8d2438dbf7de648e8e2ca42f08ea5ac8d2ebf58a9f0f5d2868b08af96,1 Okręgowe Warsztaty Techniczne,Grudziądz,,86-300,PL_body_6d8374ba417d8d02453d21062ff56eacb5a2e39e7967320026b8c0839462f6a4,Huta Stalowa Wola S.A.,Grudziądz,,86-300,54516.0,14160.0,PLN,54134.85,14061.0,PLN,,,,100.0,100.0,0.0,,100.0,0.0,,354
3025784,730591,3733e6e7-4297-4c54-80fa-752f31d8c03d,PL,,"Dostawa elementów karabinka 7,62mm kbk SKS dla 12 Rejonowych Warsztatów Techniczych - spr 82/08/12RWT",353410006.0,353410006,OPEN,PL_body_dd63aa8d5e26e81b7b4946f7d1392bcda59ff67f34a4165ef59908971360705c,Jednostka Wojskowa 2414,Warszawa,,00-909,PL_body_8c0daee060346918ca3d55d68009a8a978694de07eab054c189a09726b262aa4,ARTEK,WARSZAWA,,02-660,181905.0,44492.0,PLN,181905.0,44492.0,PLN,,,,100.0,100.0,0.0,,100.0,100.0,,353
3026518,735843,50d1541a-a2fa-4de4-ac96-b4fd0ee17f75,PL,,Sprzedaż i zapewnienie świadczenia usług dystrybucji energii elektrycznej.,353100009.0,"353100009,093000002",OPEN,PL_body_0396b37032aa97c28b851ade219879dad0882977daeee8cf5233e18142c0219b,Urząd Kontroli Skarbowej,Katowice,,40-282,PL_body_2356be43ffe37bc1574cd8c82bd0572a2250a2bb6fb67b46f483a97e400320ef,Vattenfall Sales Poland Sp. z o.o.,Gliwice,,44-100,693.0,169.0,PLN,166233.0,40604.0,PLN,,,,100.0,100.0,0.0,,100.0,0.0,,353
3028005,744938,747491c2-6b31-4e77-b3fa-ef4a1cc33e0c,PL,,Przedmiot zamówienia obejmuje dostawę do siedziby zamawiającego (Ośrodek Badań Dynamicznych w Stalowej Woli) lufy kal. 125 mm przystosowanej do armaty 2A46.,35322000.0,35322000,RESTRICTED,EU_body_580f9626213a1652b96016e54ad6131a10bb7cd4f5fc2e11ebff9b141b70d6d8,Wojskowy Instytut Techniczny Uzbrojenia,ZIELONKA,PL,05-220,EU_body_9e15013c54cc4aecd976ef01e8f13a9ba190f3ff8f1e2fe5127dc1e9ff10a24f,"Konsorcjum: WORKS 11, Michał Lubiński oraz „WORKS 11” Sp. z o.o.",Katowice,PL,40-246,187378.0,187378.0,EUR,,,,187378.0,187378.0,EUR,100.0,100.0,,,0.0,,100.0,353
3038724,814671,a9c6f5cd-1115-42f6-9653-5582a7b46320,PL,,Dostawa lufy balistycznej kal. 120X570 MM do systemu Leopard.,35322000.0,35322000,OPEN,EU_body_580f9626213a1652b96016e54ad6131a10bb7cd4f5fc2e11ebff9b141b70d6d8,Wojskowy Instytut Techniczny Uzbrojenia,ZIELONKA,PL,05-220,EU_body_787de4bd903cf84610d7751897aaf60804f5cc5367a7baa0e42b335ee4084c0a,Mario International Technology & Service,Gliwice,PL,44-100,,,,,,,,,,100.0,0.0,0.0,100.0,100.0,,100.0,353
3038904,816287,a7461803-0544-47c9-ba62-bdcf637821c8,PL,,Dostawa uzbrojenia dla Zakładu Karnego w Opolu Lubelskim,353200003.0,"353200003,353211001,353300006,353511001",OPEN,PL_body_ef62557a74f02df4f2e5730adbc485ae60c7d50fd7bf74af494df8dae49293d1,Okręgowy Inspektorat Służby Więziennej,Lublin,,20-482,PL_body_86ef07fea8b6d0960411d401106510486fbb92064934456f5702ad302ea7c770,"Nabój kaliber 12 z pociskiem gumowym (Chrabąszcz 50, 30, 20), nabój kaliber 12 typu LFT-6,8, nabój kaliber 12 typu Breneka W8-MP, nabój kaliber 12x45 ślepy (NET-05).",Pionki,,20-670,19000.0,4844.0,PLN,19000.0,4844.0,PLN,,,,100.0,100.0,0.0,,100.0,0.0,,353
15031,10124,3552f66b-43b9-4dae-8d9a-bed80300c7f1,SI,2016.0,"Orožje, strelivo in pripadajoči deli.",35300000.0,35300000,OPEN,EU_body_550a8e8a3c2126d77bc665134a89a928b3d50180246df39c88e95e42723477e4,Ministrstvo za notranje zadeve,Ljubljana,SI,1000.0,EU_body_0100e7d0ed71e5911a5250536321fa0b1c0033135a32038a0039c995ff7e2b4d,Prendis d.o.o.,Vrhnika,SI,1360,99225.0,99225.0,EUR,,,,451589.0,451589.0,EUR,100.0,0.0,100.0,,100.0,0.0,100.0,353
15032,10125,3552f66b-43b9-4dae-8d9a-bed80300c7f1,SI,2016.0,"Orožje, strelivo in pripadajoči deli.",35300000.0,35300000,OPEN,EU_body_550a8e8a3c2126d77bc665134a89a928b3d50180246df39c88e95e42723477e4,Ministrstvo za notranje zadeve,Ljubljana,SI,1000.0,EU_body_106fac2950971af172cedeb3ec9005a49a3e547b3ca5d3e66b56b4362068eafe,Perigon d.o.o.,Ljubljana,SI,1000,204500.0,204500.0,EUR,,,,451589.0,451589.0,EUR,100.0,0.0,100.0,,100.0,0.0,100.0,353
15033,10126,3552f66b-43b9-4dae-8d9a-bed80300c7f1,SI,2016.0,"Orožje, strelivo in pripadajoči deli.",35300000.0,35300000,OPEN,EU_body_550a8e8a3c2126d77bc665134a89a928b3d50180246df39c88e95e42723477e4,Ministrstvo za notranje zadeve,Ljubljana,SI,1000.0,EU_body_106fac2950971af172cedeb3ec9005a49a3e547b3ca5d3e66b56b4362068eafe,Perigon d.o.o.,Ljubljana,SI,1000,147864.0,147864.0,EUR,,,,451589.0,451589.0,EUR,100.0,0.0,100.0,,100.0,0.0,100.0,353
22032,17511,2ad09b7d-b6ab-40fe-b110-e608007abe28,SI,2016.0,Strelivo – Sklop 4 – Naboji razni – markirni naboji Simunition.,35330000.0,35330000,OPEN,EU_body_550a8e8a3c2126d77bc665134a89a928b3d50180246df39c88e95e42723477e4,Ministrstvo za notranje zadeve,Ljubljana,SI,1000.0,EU_body_0cad49d0f31b867575e39592872b198ae1e0957f394c9b1bd0a24a1e932c3cbd,Group 22 d.o.o.,Ljubljana,SI,1000,36000.0,36000.0,EUR,,,,144000.0,144000.0,EUR,100.0,0.0,100.0,100.0,100.0,0.0,100.0,353
